"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Cody Latimer",3000,"KC@Den 04:25PM ET",0.000,"Den"
"WR","Brittan Golden",3000,"Ari@Sea 08:30PM ET",0.000,"Ari"
"WR","Cordarrelle Patterson",3000,"Min@Oak 04:05PM ET",0.488,"Min"
"RB","Trey Williams",3000,"Dal@TB 01:00PM ET",0,"Dal"
"RB","Damien Williams",3000,"Mia@Phi 01:00PM ET",2.625,"Mia"
"WR","Seth Roberts",3000,"Min@Oak 04:05PM ET",5.250,"Oak"
"RB","Cameron Artis-Payne",3000,"Car@Ten 01:00PM ET",0.775,"Car"
"WR","Lucky Whitehead",3000,"Dal@TB 01:00PM ET",0.886,"Dal"
"WR","Jaelen Strong",3000,"Hou@Cin 08:30PM ET",5.200,"Hou"
"WR","Adam Thielen",3000,"Min@Oak 04:05PM ET",2.575,"Min"
"WR","Mario Alford",3000,"Hou@Cin 08:30PM ET",0,"Cin"
"WR","Taylor Gabriel",3000,"Cle@Pit 01:00PM ET",4.967,"Cle"
"WR","Jeff Janis",3000,"Det@GB 01:00PM ET",1.238,"GB"
"WR","Donteea Dye",3000,"Dal@TB 01:00PM ET",2.625,"TB"
