"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"TE","Blake Bell",2500,"SF@Sea 04:25PM ET",0.671,"SF"
"TE","James O'Shaughnessy",2500,"KC@SD 04:05PM ET",2.100,"KC"
"TE","MyCole Pruitt",2500,"GB@Min 04:25PM ET",1.122,"Min"
"TE","Cameron Brate",2500,"TB@Phi 01:00PM ET",2.914,"TB"
"TE","Clive Walford",2500,"Oak@Det 01:00PM ET",4.356,"Oak"
"TE","C.J. Fiedorowicz",2500,"NYJ@Hou 01:00PM ET",3.100,"Hou"
"TE","Brian Parker",2500,"KC@SD 04:05PM ET",0.800,"KC"
"TE","Scott Simonson",2500,"Was@Car 01:00PM ET",0.000,"Car"
"TE","Tyler Kroft",2500,"Cin@Ari 08:30PM ET",0.000,"Cin"
"TE","C.J. Uzomah",2500,"Cin@Ari 08:30PM ET",0,"Cin"
"TE","Austin Seferian-Jenkins",2500,"TB@Phi 01:00PM ET",17.950,"TB"
"TE","Demetrius Harris",2500,"KC@SD 04:05PM ET",0.389,"KC"
"TE","Nick Boyle",2500,"StL@Bal 01:00PM ET",3.200,"Bal"
"TE","Kennard Backman",2500,"GB@Min 04:25PM ET",0.000,"GB"
"TE","Troy Niklas",2500,"Cin@Ari 08:30PM ET",1.944,"Ari"
"TE","Maxx Williams",2500,"StL@Bal 01:00PM ET",4.600,"Bal"
"TE","Derek Carrier",2500,"Was@Car 01:00PM ET",3.456,"Was"
"TE","Geoff Swaim",2500,"Dal@Mia 01:00PM ET",0.500,"Dal"
"TE","Khari Lee",2500,"Den@Chi 01:00PM ET",0.000,"Chi"
"DST","Cowboys ",2400,"Dal@Mia 01:00PM ET",5.111,"Dal"
"DST","Vikings ",2300,"GB@Min 04:25PM ET",8.222,"Min"
"DST","Chargers ",2300,"KC@SD 04:05PM ET",4.000,"SD"
"DST","Buccaneers ",2300,"TB@Phi 01:00PM ET",7.667,"TB"
"DST","Lions ",2200,"Oak@Det 01:00PM ET",5.889,"Det"
"DST","49ers ",2100,"SF@Sea 04:25PM ET",4.333,"SF"
"DST","Redskins ",2100,"Was@Car 01:00PM ET",7.667,"Was"
"DST","Bears ",2000,"Den@Chi 01:00PM ET",4.778,"Chi"
"DST","Colts ",2000,"Ind@Atl 01:00PM ET",5.778,"Ind"
